Number of residues used for FULL,30

ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
A0201,1343,100,51,0
A0202,123,12,9,0
A0203,69,6,6,0
A0208,2,0,0,0
A0210,28,5,1,0
A0211,45,5,4,0
A0216,10,1,0,0
A0218,2,0,0,0
A0219,3,2,4,0
A0220,8,1,2,0
A0244,11,1,12,0
A0246,1,1,1,0
A0256,6,2,0,0
A0265,2,2,0,0
A0285,1,0,0,0
A0301,653,83,24,0
A0305,5,10,9,0
A0323,2,5,0,0
A1,660,50,34,0
A11,615,80,32,0
A2301,187,20,15,0
A2304,1,3,1,0
A2402,804,64,33,0
A2403,26,13,3,0
A2404,1,8,0,0
A2405,7,0,0,0
A2408,4,1,6,0
A2410,10,1,0,0
A2414,6,0,0,0
A2423,1,0,0,0
A2424,2,0,2,0
A25,100,22,9,0
A2601,334,32,14,0
A2603,9,4,2,0
A2607,2,0,3,0
A2614,3,4,1,0
A2901,70,10,2,0
A2902,192,22,11,0
A3001,176,30,9,0
A3002,109,29,3,0
A3007,1,0,1,0
A3101,300,29,9,0
A3102,4,0,1,0
A3201,249,34,24,0
A3204,2,0,0,0
A3301,91,7,5,0
A3303,255,27,20,0
A3308,1,1,2,0
A3313,1,3,0,0
A3401,18,1,2,0
A3402,26,8,6,0
A36,16,9,0,0
A43,2,0,0,0
A6601,45,6,5,0
A6602,10,2,2,0
A6801,432,64,20,0
A6810,2,0,4,0
A6813,2,0,0,0
A6836,1,0,0,0
A69,14,13,0,0
A74,54,7,10,0
A80,8,3,0,0
UNA,11,0,0,0

AssignedTotal,7178,843,414,0
CommonTotal,3096,15,0,0
IntermediateTotal,98,28,11,0
WellDocumentedTotal,357,107,57,0
RareTotal,3627,693,346,0

TOTAL EXPRESSED ALLELES,8435
Null alleles,481
Q alleles,106
TOTAL ALLELES,9022
